"category","country","unit","year","value","sheet"
"Fresh vegetables ","Rest of world","Million dollars","2007",233.8,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2006",231.9,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2005",223,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2004",259.1,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2003",253.3,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2002",249.9,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2001",243.7,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","2000",221.8,"Vegetables"
"Fresh vegetables ","Rest of world","Million dollars","1999",249.6,"Vegetables"
"Fresh vegetables ","World","Million dollars","2023",12393,"Vegetables"
"Fresh vegetables ","World","Million dollars","2022",11217,"Vegetables"
"Fresh vegetables ","World","Million dollars","2021",10729.4,"Vegetables"
"Fresh vegetables ","World","Million dollars","2020",10195.1,"Vegetables"
"Fresh vegetables ","World","Million dollars","2019",9091.5,"Vegetables"
"Fresh vegetables ","World","Million dollars","2018",8487.4,"Vegetables"
"Fresh vegetables ","World","Million dollars","2017",7993.5,"Vegetables"
"Fresh vegetables ","World","Million dollars","2016",8051,"Vegetables"
"Fresh vegetables ","World","Million dollars","2015",7081,"Vegetables"
"Fresh vegetables ","World","Million dollars","2014",6814.4,"Vegetables"
"Fresh vegetables ","World","Million dollars","2013",6782.4,"Vegetables"
"Fresh vegetables ","World","Million dollars","2012",5904.6,"Vegetables"
"Fresh vegetables ","World","Million dollars","2011",5899.7,"Vegetables"
"Fresh vegetables ","World","Million dollars","2010",5364,"Vegetables"
"Fresh vegetables ","World","Million dollars","2009",4328,"Vegetables"
"Fresh vegetables ","World","Million dollars","2008",4496.2,"Vegetables"
"Fresh vegetables ","World","Million dollars","2007",4270.5,"Vegetables"
"Fresh vegetables ","World","Million dollars","2006",3972.1,"Vegetables"
"Fresh vegetables ","World","Million dollars","2005",3563.9,"Vegetables"
"Fresh vegetables ","World","Million dollars","2004",3345.5,"Vegetables"
"Fresh vegetables ","World","Million dollars","2003",2981.1,"Vegetables"
"Fresh vegetables ","World","Million dollars","2002",2546.4,"Vegetables"
"Fresh vegetables ","World","Million dollars","2001",2443,"Vegetables"
"Fresh vegetables ","World","Million dollars","2000",2148,"Vegetables"
"Fresh vegetables ","World","Million dollars","1999",2014,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2023",9280.4,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2022",9006.2,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2021",8983.1,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2020",8376.8,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2019",8117,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2018",7888.3,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2017",7572.9,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2016",7356.1,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2015",6605,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2014",6538.2,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2013",6148.4,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2012",5788.9,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2011",5664,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2010",5498.6,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2009",4705.1,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2008",4633.2,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2007",4539.7,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2006",4066.3,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2005",3883.3,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2004",3684.5,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2003",3603.2,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2002",3435.7,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2001",3152.3,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","2000",2918.7,"Vegetables"
"Fresh vegetables ","World (quantity)","1,000 metric tons","1999",2990.6,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2023",655.4,"Vegetables"
"Frozen vegetables","Mexico","Million dollars","2022",597.9,"Vegetables"
